date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:53	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
21:05:54	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
21:05:54	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
21:05:55	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
21:05:55	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
21:05:55	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
21:05:55	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
21:05:56	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
21:05:56	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
21:05:56	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
21:05:56	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
21:05:56	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
21:05:57	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
21:05:57	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
21:05:57	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
21:05:57	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
21:05:57	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
21:05:58	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
21:05:58	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/images/fade-gradient.png	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
21:06:06	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
21:06:07	592835/592835	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:01%20GMT	https://www.classcentral.com/collections	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
21:06:08	599988/599988	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:00%20GMT	https://www.classcentral.com/rankings	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
21:06:08	575368/575368	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:02%20GMT	https://www.classcentral.com/subjects	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
21:06:09	907205/907205	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:09%20GMT	https://www.classcentral.com/subject/cs	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
21:06:10	857610/857610	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:10%20GMT	https://www.classcentral.com/subject/health	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
21:06:10	7665/7665	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:11%20GMT	https://www.classcentral.com/subject/business	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
21:06:11	825785/825785	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:11%20GMT	https://www.classcentral.com/subject/maths	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/maths.html	(from https://www.classcentral.com/)
21:06:11	7675/7675	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:11%20GMT	https://www.classcentral.com/subject/humanities	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/humanities	(from https://www.classcentral.com/)
21:06:11	7699/7699	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:12%20GMT	https://www.classcentral.com/subject/engineering	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/engineering	(from https://www.classcentral.com/)
21:06:11	7640/7640	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:12%20GMT	https://www.classcentral.com/subject/science	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/science	(from https://www.classcentral.com/)
21:06:12	7885/7885	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:12%20GMT	https://www.classcentral.com/subject/education	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/education.2e.delayed	(from https://www.classcentral.com/)
21:06:12	7911/7911	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:13%20GMT	https://www.classcentral.com/subject/social-sciences	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/social-sciences.2f.delayed	(from https://www.classcentral.com/)
21:06:14	831610/831610	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:14%20GMT	https://www.classcentral.com/subject/art-and-design	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/art-and-design.html	(from https://www.classcentral.com/)
21:06:14	7877/7877	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:14%20GMT	https://www.classcentral.com/subject/data-science	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/data-science.31.delayed	(from https://www.classcentral.com/)
21:06:15	7874/7874	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:15%20GMT	https://www.classcentral.com/subject/programming-and-software-development	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/programming-and-software-development	(from https://www.classcentral.com/)
21:06:15	7950/7950	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:15%20GMT	https://www.classcentral.com/subject/personal-development	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/personal-development.33.delayed	(from https://www.classcentral.com/)
21:06:15	7854/7854	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2010%20Feb%202023%2019:06:16%20GMT	https://www.classcentral.com/subject/infosec	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/subject/infosec.34.delayed	(from https://www.classcentral.com/)
21:06:18	3020815/3020815	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:17%20GMT	https://www.classcentral.com/universities	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
21:06:18	155459/155459	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2009:27:15%20GMT	https://www.classcentral.com/report/	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
21:06:19	848389/848389	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:18%20GMT	https://www.classcentral.com/collection/top-free-online-courses	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
21:06:20	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:59:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	E:/Coding/scrape%20a%20website/the%20website/classcentral2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
21:06:20	33057/33057	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202023%2022:33:51%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	E:/Coding/scrape%20a%20website/the%20website/classcentral2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
21:06:20	4168/4168	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Oct%202022%2014:19:28%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	E:/Coding/scrape%20a%20website/the%20website/classcentral2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
21:06:20	35437/35437	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Feb%202023%2008:01:13%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	E:/Coding/scrape%20a%20website/the%20website/classcentral2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
21:06:25	138423/138423	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2020:25:03%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
21:06:25	130255/130255	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:22%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
21:06:25	183539/183539	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2012:08:19%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
21:06:26	825902/825902	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Feb%202023%2019:06:21%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
21:06:26	161671/161671	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2019:24:46%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	E:/Coding/scrape%20a%20website/the%20website/classcentral2/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
